"grid","year","effort","catch.kg","depth","swept.area.km2","grid.area.km2"
"619",2000,1,0,320.684,2.5002,561.599161345108
"619",2000,1,6,320.684,4.3059,561.599161345108
"619",2000,1,0,668.581,7.2228,561.599161345108
"619",2000,1,70,503.126,10.5564,561.599161345108
"619",2000,1,0,589.904,2.3613,561.599161345108
"619",2000,1,0,496.929,5.77824,561.599161345108
"619",2000,1,0,519.931,3.30582,561.599161345108
"619",2000,1,0,364.584,11.8065,561.599161345108
"620",2000,1,0,519.931,6.75054,561.599161345108
"620",2000,1,0,592.656,8.13954,561.599161345108
"620",2000,1,22,521.789,11.6676,561.599161345108
"620",2000,1,0,547.745,8.50068,561.599161345108
"620",2000,1,0,610.619,2.2224,561.599161345108
"620",2000,1,0,610.125,8.0562,561.599161345108
"620",2000,1,9,515.01,7.7784,561.599161345108
"620",2000,1,0,610.619,5.1393,561.599161345108
"620",2000,1,0,510.387,6.72276,561.599161345108
"620",2000,1,113,516.424,10.0008,561.599161345108
"620",2000,1,38,592.656,6.945,561.599161345108
"620",2000,1,113,622.951,8.72292,561.599161345108
"620",2000,1,80,529.967,10.0008,561.599161345108
"620",2000,1,0,529.967,8.334,561.599161345108
"620",2000,1,58,574.698,8.36178,561.599161345108
"620",2000,1,8,515.01,8.91738,561.599161345108
"620",2000,1,0,602.328,10.0008,561.599161345108
"620",2000,1,0,510.566,6.69498,561.599161345108
"620",2000,1,0,565.476,7.16724,561.599161345108
"620",2000,1,13,739.56,6.5283,561.599161345108
"620",2000,1,45,610.125,9.1674,561.599161345108
"620",2000,1,0,631.347,8.8896,561.599161345108
"620",2000,1,65,542.029,7.02834,561.599161345108
"620",2000,1,80,641.668,7.5006,561.599161345108
"620",2000,1,107,592.656,9.33408,561.599161345108
"620",2000,1,218,584.921,10.0008,561.599161345108
"620",2000,1,45,665.594,13.0566,561.599161345108
"620",2000,1,24,659.419,7.75062,561.599161345108
"620",2000,1,0,508.082,3.8892,561.599161345108
"620",2000,1,50,610.125,8.0562,561.599161345108
"620",2000,1,59,547.745,7.5006,561.599161345108
"620",2000,1,0,515.01,8.0562,561.599161345108
"620",2000,1,12,500.97,8.334,561.599161345108
"620",2000,1,342,519.931,8.25066,561.599161345108
"620",2000,1,0,586.04,8.7507,561.599161345108
"620",2000,1,47,508.082,5.1393,561.599161345108
"620",2000,1,0,527.76,8.4729,561.599161345108
"621",2000,1,0,422.252,12.00096,561.599161345108
"621",2000,1,0,574.698,4.36146,561.599161345108
"621",2000,1,18,525.933,9.135298666,561.599161345108
"621",2000,1,0,500.551,13.38996,561.599161345108
"621",2000,1,0,557.926,12.0843,561.599161345108
"621",2000,1,0,496.99,7.0839,561.599161345108
"621",2000,1,32,497.917,5.94492,561.599161345108
"621",2000,1,0,602.328,10.47306,561.599161345108
"621",2000,1,0,525.933,4.88928,561.599161345108
"621",2000,1,0,497.917,6.3894,561.599161345108
"621",2000,1,0,497.917,3.72252,561.599161345108
"621",2000,1,0,514.864,10.02858,561.599161345108
"621",2000,1,0,494.897,6.69498,561.599161345108
"621",2000,1,0,533.787,8.44512,561.599161345108
"621",2000,1,0,515.037,5.80602,561.599161345108
"622",2000,1,0,505.045,9.5841,561.599161345108
"622",2000,1,0,485.408,10.24156,561.599161345108
"622",2000,1,0,490.712,5.0004,561.599161345108
"622",2000,1,0,496.874,7.13946,561.599161345108
"622",2000,1,0,470.384,6.6672,561.599161345108
"631",2000,1,0,418.541,4.0281,561.599161345108
"632",2000,1,0,429.385,1.00008,561.599161345108
"632",2000,1,0,429.385,1.6668,561.599161345108
"679",2000,1,0,500.391,7.72284,563.886205296326
"679",2000,1,0,260.542,5.2782,563.886205296326
"679",2000,1,30,712.929,4.5837,563.886205296326
"679",2000,1,0,610.311,7.9173,563.886205296326
"679",2000,1,0,600.088,4.4448,563.886205296326
"679",2000,1,20,595.667,8.1951,563.886205296326
"679",2000,1,0,600.088,6.5283,563.886205296326
"680",2000,1,0,610.125,3.44472,563.886205296326
"680",2000,1,15,696.058,8.00064,563.886205296326
